N,NL,L_direct,L_onthefly
100,0.204667764,2.355262908,0.52891233
200,0.741337471,15.20971057,1.823250416
300,1.514999898,47.43269594,3.562308034
400,2.759773144,120.6976805,6.907803705
500,4.199102536,204.5448464,9.792817859
600,5.867721706,331.5629869,14.04042348
700,9.145543938,573.925636,21.73587328
800,10.69187966,858.3110483,30.11389476
900,14.12954182,1128.124875,34.39367266
1000,18.88530226,1569.84882,51.24079038
1100,25.8873066,2531.477796,59.04798034
1200,27.89390959,3672.788149,63.86327631
1300,37.06939061,8984.316188,75.87541182
1400,44.27128957,12219.87119,90.62452633
1500,44.7102059,16340.1574,99.8823671
1600,49.46843774,19775.54459,114.0726388
1700,58.67840503,24578.24365,133.5616952
1800,74.56383741,27428.27015,149.5182012
1900,76.46691958,30981.47724,171.4715754
2000,98.04760862,38873.4321,223.2516678
